,gameRank,playerKill,monsterKill,characterLevel,bestWeaponLevel,damageToPlayer,totalTime,userNum,gameId
109,9,0,10,12,9,6964,524,2665698,16567405
110,1,6,39,18,18,18622,1073,2665698,16567215
111,4,2,37,17,15,15299,1126,2665698,16567035
112,15,0,8,9,5,0,305,443800,16076635
113,17,0,4,10,6,2514,345,443800,16076303
114,17,0,5,10,5,1153,320,443800,16076073
115,13,1,4,10,7,4324,302,443800,16075792
116,17,0,2,9,6,3006,253,443800,16075572
117,9,1,10,13,10,6797,541,443800,16075215
118,5,1,15,16,13,12120,826,443800,16074717
119,14,0,6,10,7,2972,315,443800,16074478
120,18,0,2,6,4,225,128,443800,16074281
121,17,0,6,8,6,1568,221,471350,16668399
122,17,0,10,10,6,1342,269,471350,16667923
123,14,1,9,9,7,2416,277,471350,15454351
124,18,0,3,8,5,887,184,2255751,16184494
125,12,0,6,10,6,1776,319,2255751,16184206
126,10,0,11,12,8,4224,554,2255751,16183782
127,14,0,10,10,6,474,315,747656,17105004
128,10,0,24,15,13,9637,735,2250281,17030707
129,14,0,9,11,9,2162,411,2250281,17030308
130,14,2,6,12,10,5865,386,2250281,17029912
131,6,0,15,15,11,4892,715,2250281,17018963
132,7,0,20,15,11,3338,728,2250281,17018577
133,14,0,17,11,10,2819,352,2250281,17018364
134,14,0,9,10,8,1716,317,2250281,17018127
135,12,3,10,12,11,7386,379,2250281,17017888
136,10,1,10,11,7,776,331,2250281,17017648
137,8,0,21,16,13,7545,822,2250281,17017219
138,7,2,24,17,13,9230,903,2250281,17016770
139,8,1,20,14,11,5104,715,2250281,16543135
140,12,0,15,12,8,4114,571,2250281,16542867
141,12,0,13,11,7,1677,388,2250281,16542655
142,18,0,3,8,5,1291,175,163660,17079857
143,16,0,11,10,5,199,304,163660,16786882
144,13,0,4,10,7,2753,292,2898410,16180947
145,15,1,11,10,8,2780,350,2898410,16158694
146,15,0,7,9,6,2708,264,666145,16802268
147,9,2,11,14,11,12274,518,666145,16802182
148,9,1,21,16,11,6466,668,666145,16802107
149,9,0,15,13,9,4251,519,666145,16802009
150,1,3,53,19,17,9857,1158,666145,16801886
151,1,5,31,20,19,27935,1136,666145,16798521
152,1,5,23,20,17,23863,984,666145,16798047
153,16,0,2,9,5,1558,216,666145,16797869
154,3,1,47,19,15,14737,1168,666145,16797201
155,17,0,2,10,6,2898,300,666145,16781003
156,8,2,33,16,12,7518,636,666145,16780662
157,11,1,13,15,11,10581,596,666145,16780296
158,2,2,35,20,18,20243,1189,666145,16779664
159,17,1,2,8,7,3231,195,666145,16779477
160,1,9,27,19,20,33415,1170,666145,15851803
161,6,0,11,15,11,9388,814,666145,15851350
162,15,1,14,10,8,3234,300,666145,15753709
163,18,0,4,6,4,426,126,666145,15753528
164,17,0,0,4,2,166,121,719554,16859491
165,16,1,4,8,6,2043,209,719554,16286804
166,9,1,16,13,9,2939,559,719554,16286651
167,11,0,19,11,9,2483,377,719554,16286512
168,12,0,3,10,4,754,328,719554,16195700
169,16,0,3,7,4,0,199,719554,16046772
170,3,1,42,18,15,6088,1171,719554,16046171
171,15,0,10,10,6,679,311,719554,16024204
172,9,0,21,12,8,1257,590,719554,16006366
173,5,0,34,17,11,3000,993,719554,16005838
174,10,0,21,12,8,1756,517,719554,16004758
175,4,1,47,16,13,3485,1056,719554,16004200
