,playerKillAverage,monsterKillAverage,bestWeaponLevelAverage,cluster,characterName,,,,,,,,,,,,,,,,,,,
9,0.019268883,0.784760063,0.693630186,3,LiDailin,,,,,,,,,,,,,,,,,,,
11,0.491928454,0.593601,0.425841908,3,Hyejin,,,,,,,,,,,,,,,,,,,
13,-0.304486512,0.054211013,-0.51204061,3,Chiara,,,,,,,,,,,,,,,,,,,
19,-0.522789086,0.284875208,0.157777413,3,Lenox,,,,,,,,,,,,,,,,,,,
20,-0.11811013,0.418344188,-0.00146619,3,Rozzi,,,,,,,,,,,,,,,,,,,
21,-0.495797967,1.201570279,0.479041873,3,Luke,,,,,,,,,,,,,,,,,,,
22,-0.45682672,0.057049713,-0.327895981,3,Cathy,,,,,,,,,,,,,,,,,,,
23,0.226938529,-0.030539224,-0.162446273,3,Adela,,,,,,,,,,,,,,,,,,,
27,-0.342782542,-0.395884397,-0.166818679,3,Sua,,,,,,,,,,,,,,,,,,,
29,0.395144937,0.6569324,1.106930727,3,Eleven,,,,,,,,,,,,,,,,,,,
31,-0.670772841,0.369996842,0.719501068,3,William,,,,,,,,,,,,,,,,,,,
34,-0.393094248,-0.029175047,-0.092576117,3,Jan,,,,,,,,,,,,,,,,,,,
35,-0.416949204,0.622459342,0.880426105,3,Eva,,,,,,,,,,,,,,,,,,,
36,0.057494069,0.068990972,0.464141137,3,Daniel,,,,,,,,,,,,,,,,,,,
37,0.112004304,-0.351124738,0.144754097,3,Jenny,,,,,,,,,,,,,,,,,,,
40,0.603120429,-0.135661437,-0.599744089,3,Johann,,,,,,,,,,,,,,,,,,,
41,0.047866926,-0.347348453,0.106283342,3,Bianca,,,,,,,,,,,,,,,,,,,
42,-0.307340093,-0.140540857,-0.044432431,3,Celine,,,,,,,,,,,,,,,,,,,
43,0.024683845,0.165013712,0.19222787,3,Echion,,,,,,,,,,,,,,,,,,,
44,-0.645898983,0.127938148,0.199750725,3,Mai,,,,,,,,,,,,,,,,,,,
47,0.586341872,-0.404077815,-0.142021862,3,Tia,,,,,,,,,,,,,,,,,,,
