,gameRank,playerKill,monsterKill,useEmoticonCount,characterLevel,bestWeaponLevel,mmrGain,gameId,userNum,damageToPlayer,totalTime,craftLegend,damageFromPlayer,characterNum,,,
80,1,4,47,1,18,17,19,17089924,824539,16055,1212,3,9369,12,,,
81,1,6,40,1,19,19,28,17089639,824539,22681,1193,3,10950,17,,,
82,1,7,53,1,19,19,30,17089362,824539,19502,1176,4,5448,12,,,
83,1,8,38,1,18,20,36,17089135,824539,26469,1061,3,5964,17,,,
84,3,3,52,2,19,19,4,17088896,824539,25605,1092,1,9726,12,,,
85,3,4,54,1,18,17,8,17088710,824539,14213,975,3,8128,12,,,
86,1,5,35,1,17,18,22,17088565,824539,19270,839,1,9579,17,,,
87,10,0,40,1,12,11,-17,17088473,824539,2233,433,0,3117,17,,,
88,15,0,11,1,11,9,-23,17088384,824539,4825,362,0,3960,17,,,
89,7,3,28,1,14,13,-4,17088277,824539,10751,644,1,3463,17,,,
90,12,1,5,1,10,7,-17,17088204,824539,3045,286,0,2381,17,,,
91,14,0,15,1,11,8,-23,17088045,824539,1889,349,0,2499,17,,,
92,14,1,7,1,10,8,-20,17087970,824539,4143,310,0,4186,17,,,
93,7,5,37,1,18,19,8,17087830,824539,24665,942,1,10151,17,,,
94,13,0,3,1,8,7,-22,17083075,824539,3910,233,0,2834,17,,,
95,8,1,33,1,15,14,-10,17082696,824539,12712,778,1,4452,17,,,
96,13,2,13,1,10,9,-16,17082498,824539,3102,354,0,2843,17,,,
97,18,0,5,1,8,6,-27,17082303,824539,1796,214,0,1107,17,,,
98,13,0,12,2,11,9,-23,17082048,824539,3659,424,0,2806,17,,,
99,1,4,39,3,18,18,18,17081420,824539,20729,1041,0,7699,17,,,
100,5,5,33,2,17,17,8,17080829,824539,19909,937,1,9946,17,,,
101,11,0,14,1,12,10,-20,17080418,824539,8590,531,0,4581,17,,,
102,11,1,13,2,11,8,-18,17080079,824539,4642,367,2,1924,12,,,
103,12,0,8,1,11,6,-20,17079752,824539,1476,393,0,3270,17,,,
104,9,2,22,1,12,11,-10,17079383,824539,6759,394,1,2896,12,,,
105,4,5,45,1,19,20,10,17078641,824539,24562,1075,0,11123,17,,,
106,14,1,9,1,12,9,-17,17078241,824539,4360,451,0,3306,17,,,
107,1,4,43,4,19,17,22,17077368,824539,16922,1211,2,10645,12,,,
108,1,8,37,3,19,20,35,17069407,824539,26871,1127,3,15441,12,,,
109,1,7,48,1,19,18,31,17069104,824539,17896,1157,3,9968,12,,,
110,2,6,35,1,17,16,12,17068753,824539,18685,1029,3,8553,12,,,
111,7,5,33,1,18,18,7,17068491,824539,23747,1114,1,13343,17,,,
112,1,8,43,2,19,20,33,17068214,824539,25542,1290,2,6914,12,,,
113,16,1,5,1,8,7,-22,17068142,824539,3359,181,0,1751,12,,,
114,13,0,13,2,10,8,-23,17068021,824539,2511,277,0,2221,12,,,
115,1,4,34,3,19,20,18,17067775,824539,30315,1194,4,11278,17,,,
116,8,4,22,2,14,13,-4,17067656,824539,10074,618,0,6350,17,,,
117,1,5,46,2,18,19,25,17067473,824539,19016,954,2,5014,17,,,
118,18,0,3,1,8,6,-27,17067388,824539,3078,207,0,2226,17,,,
119,8,2,22,1,14,14,-10,17067252,824539,12528,631,0,7066,17,,,
120,1,8,29,2,19,19,32,17050667,824539,22966,1107,3,7693,17,,,
121,3,7,33,1,19,18,18,17050134,824539,19899,1099,2,14419,17,,,
122,1,6,47,1,19,20,25,17049161,824539,21658,1186,1,4466,17,,,
123,16,0,10,1,9,7,-27,17048917,824539,2611,330,0,2763,17,,,
124,1,5,54,1,18,19,22,17048310,824539,19710,1196,1,6944,12,,,
125,1,6,31,2,17,16,20,17047813,824539,15369,872,3,4616,17,,,
126,1,8,34,1,19,19,32,17047155,824539,30863,1250,2,10189,17,,,
127,1,7,40,1,19,20,27,17046483,824539,31095,1169,0,14031,17,,,
